candidate,tweet,row_index,label
donald_trump,"If I posted about #Obama like I have about #Trump, I wonder if I’d get those same people messaging me ....",958,negative
donald_trump,My dad is a combat soldier- fought in Vietnam. He just texted me this picture of me as a baby when we where stationed in Heidelberg Germany. He so wants #Trump to win for all the veterans that have risked all so we could be free.��❤️�� https://t.co/K9CB4YBQrC,959,positive
donald_trump,"This is the most stressful election watch party. No landslide winning, polls &amp; media wrong again.  #Elections2020 #ElectionNight #BidenHarris2020 #biden #trump #maga #TrumpPence",960,positive
donald_trump,@realDonaldTrump They are soon to be counted! Must arrive by 5 PM today. Thought #Trump #POTUS @WhiteHouse listens to the news constantly? STOP MICROMANAGING THE #counting! It is not the candidate's place in a #democracy!!! @WhiteHouse,961,positive
joe_biden,"I understand that you some of you love #trump. You have to be able to tell the difference between these two men. #Biden sounds and act like a leader. #trump sounds like he is trying to sell you something. After you buy it, you want to take it back. #VOTE",962,positive
donald_trump,Trump wants to take away your social security #Election2020 #ElectionDay #Trump #FoxNews #MAGA2020LandslideVictory https://t.co/LdWGq5k4o4,963,negative
joe_biden,"Scenes from Washington Square Park, NYC. It was truly a joyful party atmosphere #election2020 #presidentelectjoebiden #bidenharris2020 #biden @ Washington Square Park https://t.co/DE0AzQq8QF",964,positive
joe_biden,#Biden spent a lot of time last night talking about his creepy Dad and how 8 year old children can choose what gender they want to be. #DemocratsAreDestroyingAmerica https://t.co/jte4oOTwcm,965,positive
joe_biden,#Biden  and the money from Putin claim. https://t.co/5YUtmtI4Rf,966,negative
joe_biden,"To my fellow #soldiers &amp; #patriots in #Arizona and #Pennsylvania, there is no disgrace being a Republican who votes for #JoeBiden. Let's take back the democracy that we fought and died for.  Are you available to join me? #RepublicansForBiden",967,positive
donald_trump,"@barnhart_linda @davidhogg111 The #GOP picked up seats in the House, held the Senate and broke records for turnout. #Trump didn’t do nearly enough damage, in fact, he brought new voters in. That’s truly frightening.",968,positive
joe_biden,More cheering happening as people head their way to the whitehouse #Election2020 #JoeBiden #newpresident #elections #USElections2020 #USElections #dcprotest #dcprotests #WashingtonDC #Breaking #Shutdowndc https://t.co/TUZ1Dp5Fow,969,positive
joe_biden,"@realDonaldTrump and the @GOP are trying to Pull a #Hillary on @JoeBiden, Read my blog @ https://t.co/HBX7wIieWH   #JoeBiden #DonaldTrump https://t.co/Pr73IZusWm",970,neutral
joe_biden,The Irony MS13NBC CNN ABC NYT and Penis face Jeff Bezo’s Washington Post for years claimed “The walls were closing in” on @realDonaldTrump. Maybe it’s time for #Democrat leadership have that uncomfortable conversation with #JoeBiden? #Debates2020 #Tucker,971,positive
joe_biden,"Yep, #scorchedearth! The time period between now &amp; #InaugurationDay is going to be horrible. #Biden won’t have power to do anything as he’s not #president yet, so #Trump &amp; the #TrumpAdministration are going to burn everything down. https://t.co/wecPdNqTY3",972,negative
donald_trump,"@HindlesKitchen @marwilliamson @LindseyGrahamSC you wanna talk about the lines? #TrumpVirusDeathToll275K, the lines in front of the funeral homes are long, the lines for free Food &amp; unemployment Insurance are long... mass poverty happened under #Trump Administration.  #Votehimout #TrumpIsUnfitForOffice  https://t.co/PFyW308Heu",973,negative
donald_trump,@realDonaldTrump Was in North Carolina and now he's in Pennsylvania right now! We have 3 days left until Election Day so make sure to tune in! #4MoreYears #KeepAmericaGreat #MakeAmericaGreatAgainAgain #AmericaFirst #Vote #VoteTrump #Election #Election2020 #DrainTheSwamp #Trump https://t.co/PFSTsR7MAN,974,positive
joe_biden,Keep the faith #Biden ����� https://t.co/bDONNJBZ4A,975,positive
joe_biden,"“The #Biden crime family is stealing the election” a guy with a “BBQ, Beer and freedom Tshirt” interrupts an election presser in #Nevada #Election2020  https://t.co/kMFTuZkCzU",976,negative
donald_trump,"The #Trump campaign has filed lawsuits in Michigan, Pennsylvania and Georgia.",977,positive
donald_trump,Because you told your idiot supporters not to vote by mail. And they are dumb enough to listen. #Trump,978,positive
joe_biden,BTW You would be stupid to put earnings that you received illegally on your tax returns. #JoeBiden,979,positive
donald_trump,Fox News can spin ANYTHING and they can’t even spin this. #foxnews #redwave #bluewave #liar #trump #dumptrump #presidentdrugaddict #conman #con #don #noclothes,980,neutral
joe_biden,"Early voting started Tuesday in Texas. We gave it a few days, but went this morning. It was busy, but there were plenty of machines so there wasn’t a real wait. Our new precinct is much more conservative than our last, so I was happy to bring a little more blue to it. #Biden https://t.co/uxajCG1yIX",981,positive
donald_trump,Via @RawStory: Trump’s post-COVID bravado is blowing up in his face and alienating voters: report https://t.co/gjMEj9Z4zB | #politics #trump #corruption,982,negative
donald_trump,#Trump keeping saying @JoeBiden had 8 years but he ain’t do nothing but he was only VP and there was a republican senate. wtf was they going do?! #Debates2020 #PresidentialDebate2020,983,neutral
donald_trump,".@JudgeJeanine is a disgrace to the robe and journalism. She is as much of an accomplice as any @GOP @GovMikeDeWine @senrobportman who continues to support, defend #Trump. Shame on US. Shame on them. https://t.co/3gPp8S6k31",984,positive
donald_trump,@kirstiealley No I guess it gives them a chance to switch votes and give them to #SleepyJoe that’s the only way they can win #Cheaters #Trump,985,neutral
donald_trump,���� WHO RIDING WITH ME??? Nevada Let's Go!!!!! 270!!! •••• ����������� #Vote #Election #decision2020 #Biden #Harris #path To270 #cnn #foxnews #trump #voting #electionresults #jokes #pressplay #meme #explore https://t.co/zSKp3FZsrP,986,neutral
donald_trump,We Republicans should protest this Election by not Voting it’s RIGGED they don’t want us to Win #Election2020 #MAGA2020 #trump #cnn #foxnews,987,positive
joe_biden,@PeteButtigieg I’m in Texas &amp; it’s the craziest thing. @GovAbbott IS DISABLED!!  Why would he do that?  Is he standing behind this decision?  Aren’t you in the wrong profession (Social Worker) if you don’t want to deal with certain people?  We can vote Abbott out in 2022 #VoteThemAllOut #Biden,988,positive
donald_trump,"What does it say that only has beens and former game-show-host has beens no less, an even more pathetic has been category, support #Trump. Not one ICON in entertainment, music, journalism, medicine, science, physics or sports support this monster.  Except this��guy. https://t.co/ttBWuS7Aql",989,negative
donald_trump,"This doesnt mean #VOTE for Trump. Just have compassion. He was so abused that he disconnected from his soul and operates in toxic, unhealed #ego. On https://t.co/DKEl6ssePK we discuss healing our inner #Trump. #loveyourenemies #prayforthosewhohurtyou #loveoneanother #loveyourself https://t.co/S2a4A3cIrQ",990,positive
donald_trump,@JackPosobiec Look for @krezmien and her family in the crowd with her proud Polish garments �� - she lives in Butler county too.  Go #Trump,991,positive
donald_trump,If #Trump ‘s hands are small then his head sure is tiny.,992,negative
donald_trump,Via @JRubinBlogger: The media never held Trump responsible for a mass atrocity https://t.co/9KFj7pGwGL | #trump #congress #elections,993,positive
joe_biden,@ProfBlacktruth @MrErnestOwens #JoeBiden proves once again he doesn't give a DAMN about cops murdering Black people. https://t.co/buC4az9SKj,994,negative
donald_trump,@realDonaldTrump #LiesAfterLies from #POTUS #Trump @WhiteHouse,995,positive
joe_biden,The bottom line as they say. Oh and follow the money. #BidenCorruption #Biden is compromised. https://t.co/bjhxf2gosG,996,positive
joe_biden,Extra marks for the wordplay and double points for the sentiment. #JoeBiden #Election2020 #ElectionNight #DonaldTrump https://t.co/ZsIiCprxzy,997,neutral
joe_biden,"Duval's a bellwether county in #Florida. #Trump won by 1.4% in '16. Right now, Dems have an 11-point lead overall. A @StPetePolls poll had #Biden +13 in indies w/ Trump  having a slight crossover lead. Based on those #s, Biden winning by 4,856 votes. (1% win) #ElectionNight",998,neutral
joe_biden,"This is a #townhall and not a debate, did @SavannahGuthrie not get the memo? Or was this a @NBC set up, so later they can roast #DonaldTrump for his treatment of women? #Biden got #George yet they will use that as a unequal comparison. Just wait, it's coming. #FakeNews",999,negative
