candidate,tweet,row_index,label
donald_trump,I mean seriously that's what #trump #thetraitor is running on. It's an old base strategy and won't work this time https://t.co/g3zmsSwAL0,721,negative
donald_trump,"@realDonaldTrump _€úAnd also, my Hispanic American friends, I promise to cage your children and ensure they can never be reunited with their families!_€ù #trump #desperate #voteblue 230,000 DEAD AMERICANS",722,negative
joe_biden,"So many girls, especially girls of color are going to be looking up to Kamala if they haven_€™t already. A lot of history  was made today. #KamalaHarrisVP #Election2020 #JoeBiden",723,neutral
donald_trump,"@vandyke4ad @ChrisLu44 Wake up... he also had and overcame #COVID in just a few days. Less than 1% of America has perished from this horrible virus. #Trump addresses its complicated issues and #BidenHarris plagiarize their efforts Hello, are you #Cuban or #Russian?",724,neutral
joe_biden,Is #JoeBiden making sense?,725,negative
donald_trump,Brain damage will only occur if a fever goes above 107.6 degrees farenheit #facts #funfacts #DonaldTrump #Republicans #News,726,negative
joe_biden,Thank you for the fashion compliment. It actually saved my life as a #sociopath survivor. I am a visual person not a road scholar. I learned to read people well at a very early age so I made sure they could not hurt me. I am not promoting #biden just trying to bring awareness. https://t.co/j2Z0KFXGuQ,727,neutral
donald_trump,"#Trump pandemic has now killed more people in our nation than population of Spokane, Wash.,  99th-largest city in the United States. @DCReportMedia https://t.co/eclGre6JyZ",728,neutral
donald_trump,Love it when it piles on #DonaldTrump https://t.co/QUvh7I5YuB,729,positive
donald_trump,But @realDonaldTrump said we weren't gonna hear about it anymore after November 3rd #trumpliedpeopledied #TrumpPandemic #trump https://t.co/FYq7LJO8nF,730,neutral
joe_biden,#biden has ALREADY released a plan to restore our country. #BidenHarrisToEndThisNightmare,731,negative
joe_biden,"@JoeBiden I grew up in Pennsylvania. It would make me proud if my home state votes for restoring presidential dignity, and supports the Biden platform that will keep American a leader for progress and a model for fairness and equality in the world for generations to come. #Biden",740,positive
joe_biden,"If #Biden rejoins #Paris Climate accords he will only be enabling his buddies in #China and #Russia !  He does not have #Americas good will, in fact he is not intact. 4 months till #Harris takes over after Jan 20th.",741,negative
donald_trump,Sunken boats for #Trump https://t.co/LYTgkRPV45,742,negative
donald_trump,If the lack of repudiation by Republicans on Trump_€™s unfounded and dangerous anti democratic claims  is a precursor to a second term we are in trouble. #election2020 #wheredemocracydies #TrumpLies   #trump,743,negative
joe_biden,It_€™s weird that #Biden needs exactly 6 EV &amp; oh look he is about to take NV which has exactly 6 EV The 3 stooges could have pulled this election theft off better! Demtards are a bunch of πü__ if they think We The People are going to go with this! #CrookedJoeBiden,744,negative
joe_biden,Someone's coming at you with a knife? Try and shoot them in the leg and throw a social worker at them. -#JoeBiden https://t.co/x6MowNcrFe,745,negative
donald_trump,So one sided #Trump can talk all he wants #Biden gets 3min... Whos running the mic??,746,negative
donald_trump,Impeachment Testimony Describes Putin_€™s Propaganda War On American Fracking. #Democrats want to ban #Fracking. Yet somehow they also want #Americans to believe #Russia interferes so #Trump can win and #Biden loses. Hopefully you can see the problem here.  https://t.co/XfH3J2ArMK,747,positive
donald_trump,Learned from this term that businessmen are better than politicians at being politicians. #Maga #Trump,748,positive
joe_biden,@drewphish Well said!  Let_€™s do it πü‡_πü‡_ #Biden,749,positive
donald_trump,@ReallyAmerican1 #Trump is literally doing this as we speak.  #TrumpIsLosing https://t.co/F29pYXz2ux,750,negative
joe_biden,The AP has joined CNN in calling #Wisconsin for #Biden https://t.co/ClVkDytwfo,751,positive
