candidate,tweet,row_index,label
joe_biden,"@RealJamesWoods Ultimately, #joeBiden is a stooge for t/British Empire, for a faction of t/British Empire that is so desperate over their imminent loss of power, between t/ collapse of t/ trans-Atlantic financial system &amp; t/mental disintegration of t/British Monarchy, that they're desperate. 1/2",483,negative
donald_trump,Finally out of Twitter jail! I guess they don¡¯t appreciate my anti trump tweets! #DumpTrump #DumpTrump2020 #DumpTrumpDayNov3 #BidenHarris2020 #VoteForBidenHarris #VoteBlueToEndTheNightmare #VoteBidenHarrisToSaveAmerica #makeamericablueagain #trump???? #immigrantMelania #SaveAmerica,484,negative
donald_trump,Waiting on #Trump https://t.co/pA7hP28FX3,485,negative
donald_trump,@realDonaldTrump Anti-Trump? PLEASE VOTE #MakeAmericaUnitedAgain #vetsforscience #FTrumpS #OperationMAGA #antitrump #dumptrump #biden2020 #trump #voteblue #negligenthomicide #blm #murdererinchief #bidenharris #shitler #FuckTrumpsShit https://t.co/IIuJ1XVkoV,486,positive
donald_trump,those infected with #Covid19 can be tried for #Terrorism if knowingly being infected and jeopardizing the lives of others- #WearAMask #SuperSpreader #Trump https://t.co/Dz2DltxtN3,487,negative
joe_biden,@NewellNYC A beautiful city in which I proudly cast my vote yesterday for #JoeBiden . https://t.co/dPTBI2fKga,488,positive
joe_biden,What¡¯s on the ballot is the character of our country. #Biden,489,positive
donald_trump,The Bible Tells You So https://t.co/yODta9vfup #god #mammon #bible #truth #trump #lies #corruption #politics #vote #america #unitedstates #misinformation #taxfraud https://t.co/6qJVzjitUE,490,positive
joe_biden,Idk about you but I prefer presidential candidates who DIDN¡¯T get Covid-19. #PresidentialElection #Biden #BidenHarris2020,491,positive
donald_trump,#ElectionNight #Elections2020 #Trump https://t.co/q6FYkxMGNb,492,positive
joe_biden,"Did you know #cleanenergy jobs pay 25% more than the nat'l median, according to @ACORE? They're also more likely to include healthcare &amp; retirement benefits. Investing in #renewables is an effective way to #buildbackbetter. #COVID19 #Biden https://t.co/izaGITT46y https://t.co/IEGGiliiyh",493,positive
donald_trump,@realDonaldTrump #YOUREFIRED #YoureFiredTrump #DonaldTrump YOURE FIRED!!! https://t.co/ppWr6HUJuc,494,positive
joe_biden,I wanna see #Biden¡¯s face when they take his ¡°presidency¡± away lmao. #riggedelection,495,neutral
donald_trump,@PeterMerlinCane His path of destruction is expanding rapidly. #Trump,496,negative
donald_trump,"Please retweet to reach more people, this is for science people. #BidenHarris #Trump #Jorgensen2020 #Maiq2020",497,negative
donald_trump,"@realDonaldTrump @Mike_Pence @GOPChairwoman @GOPLeader YOU ALL ARE DANGEROUS LIARS, HYPOCRITES!In Ohio, Republican-run state where #Trump won, MAILED BALLOTS POSTMARKED BY NOV 2 WOULD BE COUNTED AS LONG AS THEY ARE RECEIVED UP UNTIL 10 DAYS AFTER NOVEMBER 3! 10 DAYS! DO YOU HEAR?",498,negative
joe_biden,"Trump is always trying to go to the courts about everything, like dude no one cares that you are having tantrums. Only logistical tactic to try to solve anything; Republican judges have even started to dismiss you! #ElectionResults2020 #Biden @TheDemocrats @JoeBiden",499,positive
joe_biden,@JoeBiden Congratulations!!! Please consider @AmbassadorRice and @PeteButtigieg for positions within your administration. Two extremely worthy people as you well know. Looking forward to peace and dignity in the rebuilding of America. #JoeBiden #PresidentBiden #Election2020,500,positive
