candidate,tweet,row_index,label
joe_biden,#Biden is saying what Americans want to hear from a leader!   #BidenTownHall,0,positive
joe_biden,#Terro attacks have been way down under @realdonaldtrump it would be a shamed if #JoeBiden won https://t.co/ZRCPkVfdQJ,1,negative
joe_biden,#JoeBiden is losing it but the #fakenews #MSM continues to cover for him. #Election2020 #BidenFamilyCorruption #CunityCollege #JoeBidensNeighborhood https://t.co/JrbhPb48Rw,2,negative
joe_biden,#JeffDaniels narrates new #Biden campaign ad for #Michigan #TheHill https://t.co/mRZjAm6dgu,3,positive
donald_trump,"@Amy_Siskind Wow! Democrats lead by over 1m mail-in votes. That's massive. If after early voting and election day voting is tallied by tomorrow and #tRump is not leading by that amount before the mail-in ballots are counted, he's toast in PA",4,neutral
joe_biden,"Both candidates have made it clear that following scientific evidence is on the ballot- only *one* will do it. It’s #Biden. Time to #VoteForPublicHealth, America, and repudiate cruelty, callousness, and know-nothingism. Let’s go. ✊🏾🇺🇸❤️ https://t.co/GP28fkuf8M",5,neutral
donald_trump,#Trump is really about to cry😐..don’t let me give you something to cry for😭#bidenharis2020 https://t.co/maWuVHaayo,6,negative
joe_biden,I will never Comply #JoeBiden  #Thugs,7,negative
joe_biden,As I said before when we have the corrupt people making millions like #JoeBiden and #HunterBiden #russia #China #uk all the billions from hedge funds foreign countries and everyone willing to crush #America https://t.co/43v1FFNZgE,8,negative
donald_trump,#JoeBiden gives #DonaldTrump an opening by mentioning #WallStreet. #DebateTonight #Debates2020,9,neutral
joe_biden,@ddale8 Sociopaths project. QED. #Vote #Biden,10,positive
joe_biden,@realDonaldTrump you are a loser. #biden https://t.co/9yTk8vVNvp,11,positive
donald_trump,@realDonaldTrump Anti-Trump? PLEASE VOTE #MakeAmericaUnitedAgain #vetsforscience #FTrumpS #OperationMAGA #antitrump #dumptrump #biden2020 #trump #voteblue #negligenthomicide #blm #murdererinchief #bidenharris #shitler #FuckTrumpsShit https://t.co/Q9IylFMFdD,12,negative
